client_id	path	sentence
11	mp3/001001.mp3	bis mil lā hir raḥ mā nir ra ḥīm
11	mp3/001002.mp3	al ḥam du lil lā hi rab bil 'ā la mīn
11	mp3/001003.mp3	ar raḥ mā nir ra ḥīm
11	mp3/001004.mp3	mā li ki yau mid dīn
11	mp3/001005.mp3	iy yā ka na' bu du wa iy yā ka nas ta 'īn
11	mp3/001006.mp3	ih di naṣ ṣi rā ṭal mus ta qīm
11	mp3/001007.mp3	ṣi rā ṭal la żī na an 'am ta 'a lai him gai ril mag ḍụ bi 'a lai him wa laḍ ḍāl līn
11	mp3/002001.mp3	a lif lām mīm
11	mp3/002002.mp3	żā li kal ki tā bu lā rai ba fīh , hu dal lil mut ta qīn
11	mp3/002003.mp3	al la żī na yu` mi nụ na bil gai bi wa yu qī mụ naṣ ṣa lā ta wa mim mā ra zaq nā hum yun fi qụn
11	mp3/002005.mp3	u lā `i ka 'a lā hu dam mir rab bi him wa u lā `i ka hu mul muf li ḥụn
11	mp3/002008.mp3	wa mi nan nā si may ya qụ lu ā man nā bil lā hi wa bil yau mil ā khi ri wa mā hum bi mu` mi nīn
11	mp3/002011.mp3	wa i żā qī la la hum lā tuf si dụ fil ar ḍi qā lū in na mā naḥ nu muṣ li ḥụn
11	mp3/002012.mp3	a lā in na hum hu mul muf si dụ na wa lā kil lā yasy 'u rụn
11	mp3/002015.mp3	all llā hu yas tah zi `u bi him wa ya mud du hum fī ṭug yā ni him ya' ma hụn
11	mp3/002018.mp3	ṣum mum buk mun 'um yun fa hum lā yar ji 'ụn
11	mp3/002037.mp3	fa ta laq qā ā da mu mir rab bi hī ka li mā tin fa tā ba 'a laīh , in na hụ hu wat taw wā bur ra ḥīm
11	mp3/002042.mp3	wa lā tal bi sul ḥaq qa bil bā ṭi li wa tak tu mul ḥaq qa wa an tum ta' la mụn
11	mp3/002043.mp3	wa a qī muṣ ṣa lā ta wa ā tuz za kā ta war ka 'ụ ma 'ar rā ki 'īn
